tokens per iteration will be: 491,520
Resuming training from out2
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: WARNING W&B installed but not logged in.  Run `wandb login` or set the WANDB_API_KEY env variable.
step 16000: train loss 3.1384, val loss 3.1327
saving checkpoint to out2
iter 16000: loss 3.2628, time 89179.87ms, mfu -100.00%
iter 16040: loss 3.3101, time 13098.09ms, mfu 10.28%
iter 16080: loss 3.1231, time 13098.20ms, mfu 10.28%
iter 16120: loss 3.1195, time 13098.14ms, mfu 10.28%
iter 16160: loss 3.0362, time 13098.75ms, mfu 10.28%
iter 16200: loss 3.1046, time 13096.67ms, mfu 10.28%
iter 16240: loss 3.1222, time 13095.42ms, mfu 10.28%
iter 16280: loss 3.0071, time 13092.28ms, mfu 10.28%
iter 16320: loss 3.2301, time 13097.44ms, mfu 10.28%
iter 16360: loss 3.1700, time 13094.59ms, mfu 10.28%
iter 16400: loss 3.1310, time 13099.29ms, mfu 10.28%
iter 16440: loss 2.9815, time 13099.52ms, mfu 10.28%
iter 16480: loss 3.5151, time 13093.04ms, mfu 10.28%
iter 16520: loss 3.2451, time 13094.27ms, mfu 10.28%
iter 16560: loss 3.0547, time 13097.63ms, mfu 10.28%
iter 16600: loss 3.2290, time 13096.23ms, mfu 10.28%
iter 16640: loss 2.8847, time 13094.78ms, mfu 10.28%
iter 16680: loss 2.9023, time 13096.90ms, mfu 10.28%
iter 16720: loss 3.1455, time 13094.72ms, mfu 10.28%
iter 16760: loss 3.1805, time 13093.76ms, mfu 10.28%
iter 16800: loss 3.1231, time 13094.55ms, mfu 10.28%
iter 16840: loss 3.0332, time 13095.67ms, mfu 10.28%
iter 16880: loss 2.7338, time 13094.93ms, mfu 10.28%
iter 16920: loss 2.9972, time 13091.30ms, mfu 10.28%
iter 16960: loss 2.9900, time 13093.97ms, mfu 10.28%
iter 17000: loss 2.7793, time 13095.23ms, mfu 10.28%
iter 17040: loss 3.0367, time 13093.95ms, mfu 10.28%
iter 17080: loss 3.2191, time 13091.30ms, mfu 10.28%
iter 17120: loss 3.0559, time 13093.30ms, mfu 10.28%
iter 17160: loss 3.1113, time 13098.42ms, mfu 10.28%
iter 17200: loss 3.0975, time 13092.90ms, mfu 10.28%
iter 17240: loss 3.2186, time 13096.15ms, mfu 10.28%
iter 17280: loss 3.2930, time 13093.19ms, mfu 10.28%
iter 17320: loss 3.1806, time 13092.90ms, mfu 10.28%
iter 17360: loss 3.0318, time 13094.63ms, mfu 10.28%
iter 17400: loss 2.8439, time 13092.44ms, mfu 10.28%
iter 17440: loss 3.2460, time 13090.72ms, mfu 10.28%
iter 17480: loss 2.8958, time 13093.42ms, mfu 10.28%
iter 17520: loss 3.2289, time 13093.53ms, mfu 10.28%
iter 17560: loss 3.2855, time 13096.01ms, mfu 10.28%
iter 17600: loss 3.3466, time 13097.66ms, mfu 10.28%
iter 17640: loss 2.8391, time 13095.82ms, mfu 10.28%
iter 17680: loss 3.0240, time 13091.55ms, mfu 10.28%
iter 17720: loss 3.0297, time 13097.46ms, mfu 10.28%
iter 17760: loss 3.1556, time 13095.82ms, mfu 10.28%
iter 17800: loss 3.1179, time 13095.13ms, mfu 10.28%
iter 17840: loss 3.2924, time 13096.13ms, mfu 10.28%
iter 17880: loss 3.2357, time 13094.37ms, mfu 10.28%
iter 17920: loss 3.3330, time 13095.68ms, mfu 10.28%
